5683,387672,6,1
4191,333612,0,0
7775,669709,5,3
5959,753401,7,3
8987,713811,3,1
4739,564374,9,1
7375,920122,0,2
463,995659,2,1
9612,777197,2,0
456,35729,2,1
7023,262812,7,2
9845,177030,2,1
3584,154108,7,3
4308,562151,7,3
3522,995244,5,2
4513,364043,8,0
0,478412,8,0
8835,253116,8,1
7490,515711,5,0
7658,965182,0,1
4623,891363,0,3
6034,336542,2,4
6907,889734,3,2
6809,80629,7,4
8711,555371,8,4
3903,990378,4,3
2336,683141,6,2
1538,411052,1,4
4894,807572,3,1
460,683758,6,1
5588,310750,4,2
8776,319124,1,4
3839,268503,7,0
3399,277636,9,0
1005,853302,4,4
3369,678517,5,1
4080,705382,7,3
2429,229862,8,4
1442,200217,2,3
113,347832,8,3
6184,561205,1,0
3503,365521,3,0
9980,779997,9,1
3984,561051,8,0
1546,730737,0,2
8737,881247,4,2
250,38563,8,0
9276,200493,9,4
4015,981744,3,2
8817,58425,9,1
9817,736849,2,2
2774,938155,9,3
7663,921151,8,2
3871,167447,7,1
1250,505473,0,2
636,198257,1,3
8239,462534,5,4
4488,433926,2,0
1327,605765,6,2
1227,365190,6,2
5228,823450,7,1
2262,925813,9,2
9013,844683,6,0
8776,772286,3,4
7145,423996,9,1
159,377392,2,0
4661,601738,5,1
4128,326888,6,2
4399,66958,3,3
9593,635108,1,3
8269,788414,6,0
3231,981955,1,3
5327,861210,1,0
5041,333373,6,1
8862,777027,6,0
953,987619,4,1
9881,850028,2,3
7268,511333,3,0
4506,123007,8,4
1433,263044,1,3
8953,472625,0,0
2917,907019,0,4
3047,569440,9,4
941,843411,6,4
7986,932387,5,3
6664,948094,3,2
5546,180514,1,3
5117,838533,7,1
9997,505556,0,4
6455,558491,6,0
7630,83000,1,1
4498,230698,3,1
1330,864621,5,3
4112,158405,8,0
5199,160237,2,3
2205,323622,3,3
5269,593566,4,0
8108,632197,5,4
5268,52423,9,2
4500,789813,4,0
199,57226,6,1
870,884428,6,2
9546,530088,3,4
7942,579112,3,4
5487,349449,8,3
264,518305,0,1
3419,831926,0,1
7403,606088,4,4
1441,438866,1,3
2795,914860,9,0
7602,385572,0,4
5017,415071,6,4
3518,924705,5,2
6990,711726,8,3
3082,746140,7,1
8952,852521,5,2
4231,127225,7,0
8240,804248,4,0
2307,182134,6,3
5933,449153,5,4
876,459740,9,0
1342,971164,8,0
9004,567339,1,3
1017,205587,0,0
8007,635001,6,4
1866,817720,1,4
8092,61579,6,0
7735,339329,2,4
8002,863857,7,3
4991,901058,1,4
4550,821210,9,0
4934,58062,7,3
2470,731646,2,1
2136,83440,7,0
4020,65836,8,3
9556,284442,3,4
7725,184029,6,1
6899,866151,6,1
2193,896293,3,4
677,677824,2,4
110,351414,7,3
8447,419181,1,4
2981,86916,8,1
6299,274589,1,3
2372,110891,7,4
6511,83866,4,4
5107,725350,7,1
3188,300332,1,2
9679,910814,4,3
9775,96623,1,3
5448,651371,1,1
6999,937084,9,4
858,521067,8,4
495,556954,4,2
5781,459212,5,4
210,635531,1,0
5342,174143,3,0
2198,112981,4,0
3144,489727,0,1
9365,764678,4,2
7804,243293,9,1
1353,837623,3,4
2580,963310,2,1
9625,470995,2,2
8515,82643,8,4
9771,724028,2,2
764,687995,4,3
7301,815705,0,3
1822,899979,0,3
279,414864,4,0
3612,523267,2,1
1967,803086,5,4
8769,738006,1,1
2306,998487,1,4
1078,204269,8,0
9211,70130,0,3
50,42737,4,3
1268,605938,8,3
2369,170609,9,1
1948,189522,0,4
998,747780,7,1
9674,357338,3,3
2271,509922,5,0
3377,244485,6,3
590,959911,5,2
9041,573726,5,4
6460,534025,9,1
9764,170154,5,1
2789,937815,9,3
9122,514434,1,2
5123,606941,8,4
7229,541780,7,2
7269,953591,6,2
1885,347638,6,4
1606,932256,2,2
1739,407384,9,0
5533,557916,6,4
8080,957268,0,0
981,300515,9,1
